site	lambda	dnds
132	0.152367519848	0.657072185068
133	0.152565778763	0.656624131702
134	0.13750136494	0.690826532086
135	0.152288805178	0.657250098415
136	0.138987255358	0.687445311226
137	0.140209669078	0.684663865309
138	0.136429750389	0.693264954388
139	0.146903911477	0.669448302034
140	0.153532558006	0.654440480428
141	0.130549659956	0.706634138146
142	0.116334008046	0.738705767132
143	0.111925781864	0.748517817081
144	0.126213339482	0.71646761525
145	0.132880798886	0.701337212649
146	0.120702499583	0.728907990594
147	0.131531377128	0.704404133752
148	0.112554784374	0.747122984315
149	0.133278429889	0.700433176495
150	0.129979798577	0.707928057197
151	0.0941302842312	0.787009549374
152	0.098761286525	0.777202530667
153	0.0940265501845	0.787227220532
154	0.1078878042	0.757425352399
155	0.0996746890165	0.77524859008
156	0.107906534768	0.757384232746
157	0.0930033798017	0.789369248826
158	0.101698358611	0.770898147333
159	0.0927944170744	0.789805598801
160	0.0926567801524	0.790092798767
161	0.0811460144721	0.813464096944
162	0.0767133457024	0.822080448454
163	0.0679299918905	0.838416216588
164	0.0717096367132	0.831513459477
165	0.0765493326313	0.822394714616
166	0.0616849523571	0.849366783641
167	0.082174693484	0.811431819777
168	0.0859126926661	0.803949383586
169	0.0834403536421	0.808915187364
170	0.0816604667138	0.812449226458
171	0.0505991514216	0.867262751386
172	0.0601668344313	0.851938185344
173	0.0338786820191	0.889975902309
174	0.0433502633781	0.877783005795
175	0.0526708003589	0.864078541637
176	0.0447001678357	0.875899263547
177	0.0564860729507	0.858017684923
178	0.0584138246302	0.854861394274
179	0.0410108135881	0.880963265736
180	0.0527069672099	0.86402227438
181	0.0109378625067	0.91137618293
182	0.00463479641174	0.915073561833
183	0.011705529555	0.91085927165
184	0.0177744510581	0.906273055193
185	0.0240100382297	0.900656778334
